Id,Class
2455,IE
2456,N
2457,N
2458,N
2459,IE
2460,N
2461,IE
2462,EI
2463,IE
2464,N
2465,EI
2466,N
2467,N
2468,IE
2469,EI
2470,EI
2471,IE
2472,N
2473,IE
2474,IE
2475,N
2476,N
2477,N
2478,N
2479,N
2480,N
2481,IE
2482,EI
2483,IE
2484,EI
2485,IE
2486,IE
2487,IE
2488,IE
2489,IE
2490,N
2491,EI
2492,N
2493,EI
2494,IE
2495,N
2496,IE
2497,N
2498,N
2499,N
2500,EI
2501,N
2502,N
2503,N
2504,N
2505,IE
2506,IE
2507,IE
2508,N
2509,IE
2510,N
2511,N
2512,IE
2513,EI
2514,N
2515,N
2516,N
2517,IE
2518,IE
2519,IE
2520,IE
2521,IE
2522,N
2523,N
2524,N
2525,EI
2526,EI
2527,N
2528,N
2529,IE
2530,EI
2531,EI
2532,N
2533,EI
2534,IE
2535,N
2536,EI
2537,EI
2538,EI
2539,N
2540,IE
2541,N
2542,EI
2543,N
2544,N
2545,IE
2546,EI
2547,EI
2548,IE
2549,EI
2550,N
2551,N
2552,N
2553,N
2554,IE
2555,N
2556,N
2557,N
2558,N
2559,N
2560,EI
2561,EI
2562,EI
2563,EI
2564,N
2565,EI
2566,N
2567,N
2568,N
2569,N
2570,N
2571,N
2572,IE
2573,N
2574,N
2575,N
2576,IE
2577,IE
2578,IE
2579,EI
2580,EI
2581,EI
2582,EI
2583,EI
2584,EI
2585,N
2586,EI
2587,N
2588,N
2589,N
2590,N
2591,IE
2592,IE
2593,N
2594,N
2595,IE
2596,EI
2597,EI
2598,EI
2599,EI
2600,N
2601,IE
2602,IE
2603,IE
2604,IE
2605,IE
2606,EI
2607,N
2608,EI
2609,N
2610,N
2611,IE
2612,N
2613,N
2614,N
2615,N
2616,N
2617,N
2618,N
2619,N
2620,IE
2621,N
2622,EI
2623,N
2624,N
2625,N
2626,EI
2627,N
2628,N
2629,N
2630,N
2631,EI
2632,EI
2633,EI
2634,IE
2635,N
2636,N
2637,EI
2638,N
2639,EI
2640,EI
2641,EI
2642,N
2643,N
2644,EI
2645,EI
2646,IE
2647,N
2648,EI
2649,EI
2650,EI
2651,N
2652,N
2653,N
2654,N
2655,IE
2656,IE
2657,IE
2658,IE
2659,IE
2660,IE
2661,IE
2662,IE
2663,IE
2664,IE
2665,EI
2666,N
2667,IE
2668,N
2669,EI
2670,EI
2671,EI
2672,EI
2673,N
2674,EI
2675,IE
2676,EI
2677,EI
2678,IE
2679,IE
2680,IE
2681,N
2682,IE
2683,EI
2684,EI
2685,EI
2686,IE
2687,EI
2688,N
2689,IE
2690,IE
2691,EI
2692,N
2693,EI
2694,EI
2695,N
2696,EI
2697,EI
2698,IE
2699,N
2700,N
2701,N
2702,EI
2703,N
2704,EI
2705,EI
2706,N
2707,IE
2708,N
2709,EI
2710,N
2711,N
2712,EI
2713,EI
2714,N
2715,N
2716,IE
2717,N
2718,N
2719,IE
2720,IE
2721,IE
2722,IE
2723,EI
2724,IE
2725,N
2726,IE
2727,EI
2728,N
2729,EI
2730,N
2731,N
2732,EI
2733,EI
2734,EI
2735,EI
2736,EI
2737,EI
2738,EI
2739,EI
2740,EI
2741,EI
2742,N
2743,EI
2744,EI
2745,N
2746,N
2747,N
2748,EI
2749,EI
2750,EI
2751,IE
2752,EI
2753,EI
2754,IE
2755,N
2756,EI
2757,EI
2758,EI
2759,EI
2760,N
2761,N
2762,EI
2763,N
2764,IE
2765,EI
2766,IE
2767,IE
2768,IE
2769,IE
2770,IE
2771,IE
2772,N
2773,EI
2774,EI
2775,N
2776,EI
2777,IE
2778,N
2779,EI
2780,N
2781,N
2782,EI
2783,N
2784,IE
2785,N
2786,EI
2787,N
2788,N
2789,N
2790,N
2791,N
2792,N
2793,EI
2794,N
2795,EI
2796,IE
2797,IE
2798,N
2799,EI
2800,EI
2801,EI
2802,N
2803,N
2804,IE
2805,IE
2806,IE
2807,EI
2808,EI
2809,EI
2810,EI
2811,N
2812,N
2813,EI
2814,N
2815,N
2816,EI
2817,N
2818,N
2819,IE
2820,EI
2821,EI
2822,N
2823,N
2824,N
2825,N
2826,EI
2827,N
2828,N
2829,N
2830,N
2831,EI
2832,IE
2833,IE
2834,IE
2835,N
2836,N
2837,EI
2838,N
2839,EI
2840,N
2841,IE
2842,N
2843,N
2844,IE
2845,N
2846,N
2847,N
2848,EI
2849,IE
2850,IE
2851,EI
2852,N
2853,N
2854,EI
2855,EI
2856,N
2857,EI
2858,N
2859,EI
2860,EI
2861,EI
2862,N
2863,EI
2864,N
2865,IE
2866,EI
2867,N
2868,N
2869,N
2870,EI
2871,IE
2872,EI
2873,EI
2874,EI
2875,IE
2876,EI
2877,N
2878,N
2879,IE
2880,N
2881,N
2882,EI
2883,EI
2884,EI
2885,EI
2886,IE
2887,EI
2888,N
2889,EI
2890,N
2891,N
2892,N
2893,EI
2894,EI
2895,N
2896,IE
2897,N
2898,IE
2899,N
2900,N
2901,N
2902,IE
2903,EI
2904,N
2905,IE
2906,IE
2907,IE
2908,IE
2909,IE
2910,IE
2911,EI
2912,N
2913,IE
2914,EI
2915,N
2916,EI
2917,IE
2918,IE
2919,EI
2920,EI
2921,EI
2922,EI
2923,EI
2924,EI
2925,N
2926,N
2927,EI
2928,N
2929,EI
2930,N
2931,N
2932,N
2933,EI
2934,N
2935,EI
2936,EI
2937,N
2938,EI
2939,EI
2940,EI
2941,EI
2942,EI
2943,IE
2944,IE
2945,N
2946,N
2947,N
2948,N
2949,EI
2950,EI
2951,N
2952,N
2953,N
2954,N
2955,N
2956,EI
2957,N
2958,IE
2959,EI
2960,N
2961,EI
2962,N
2963,IE
2964,N
2965,N
2966,N
2967,N
2968,IE
2969,IE
2970,EI
2971,IE
2972,N
2973,N
2974,IE
2975,N
2976,N
2977,N
2978,N
2979,N
2980,N
2981,N
2982,EI
2983,EI
2984,N
2985,N
2986,EI
2987,N
2988,N
2989,IE
2990,N
2991,N
2992,N
2993,EI
2994,EI
2995,EI
2996,EI
2997,N
2998,N
2999,N
3000,IE
3001,N
3002,N
3003,N
3004,IE
3005,N
3006,EI
3007,EI
3008,EI
3009,N
3010,EI
3011,EI
3012,IE
3013,N
3014,IE
3015,IE
3016,N
3017,N
3018,N
3019,N
3020,IE
3021,N
3022,N
3023,N
3024,N
3025,IE
3026,N
3027,EI
3028,N
3029,N
3030,IE
3031,IE
3032,EI
3033,N
3034,N
3035,IE
3036,EI
3037,IE
3038,N
3039,N
3040,N
3041,IE
3042,EI
3043,N
3044,N
3045,EI
3046,EI
3047,IE
3048,N
3049,EI
3050,N
3051,N
3052,EI
3053,EI
3054,EI
3055,N
3056,N
3057,EI
3058,N
3059,IE
3060,N
3061,IE
3062,N
3063,EI
3064,N
3065,EI
3066,N
3067,EI
3068,N
3069,N
3070,N
3071,N
3072,EI
3073,N
3074,EI
3075,IE
3076,N
3077,N
3078,IE
3079,IE
3080,EI
3081,EI
3082,EI
3083,N
3084,N
3085,EI
3086,IE
3087,EI
3088,N
3089,N
3090,IE
3091,N
3092,N
3093,EI
3094,IE
3095,N
3096,IE
3097,EI
3098,EI
3099,N
3100,N
3101,N
3102,EI
3103,N
3104,IE
3105,IE
3106,IE
3107,N
3108,EI
3109,IE
3110,N
3111,N
3112,EI
3113,IE
3114,N
3115,EI
3116,N
3117,N
3118,N
3119,EI
3120,EI
3121,EI
3122,EI
3123,EI
3124,N
3125,N
3126,EI
3127,EI
3128,EI
3129,IE
3130,N
3131,N
3132,EI
3133,N
3134,N
3135,N
3136,EI
3137,IE
3138,N
3139,N
3140,N
3141,N
3142,N
3143,IE
3144,N
3145,N
3146,N
3147,EI
3148,IE
3149,IE
3150,EI
3151,N
3152,EI
3153,EI
3154,N
3155,IE
3156,IE
3157,N
3158,EI
3159,EI
3160,EI
3161,EI
3162,N
3163,N
3164,EI
3165,EI
3166,EI
3167,IE
3168,EI
3169,N
3170,IE
3171,N
3172,IE
3173,N
3174,IE
3175,EI
3176,EI
3177,EI
3178,N
3179,EI
3180,N
3181,N
3182,N
3183,EI
3184,N
3185,N
3186,N
3187,N
3188,N
3189,N
3190,IE
